iter	Passed	Remaining
0	0	160
1	0	147
2	1	146
3	1	139
4	2	133
5	2	129
6	3	127
7	3	124
8	3	123
9	4	120
10	4	119
11	4	118
12	5	117
13	5	115
14	6	114
15	6	112
16	6	111
17	7	111
18	7	110
19	7	109
20	8	108
21	8	107
22	8	106
23	9	106
24	9	105
25	9	104
26	10	104
27	10	103
28	11	103
29	11	102
30	11	102
31	12	101
32	12	100
33	12	99
34	13	99
35	13	98
36	13	98
37	14	97
38	14	97
39	14	96
40	15	96
41	15	95
42	15	95
43	16	94
44	16	93
45	16	93
46	17	92
47	17	92
48	17	91
49	18	91
50	18	91
51	18	89
52	19	88
53	19	88
54	19	88
55	20	88
56	20	87
57	20	87
58	21	87
59	21	87
60	22	86
61	22	86
62	22	85
63	23	85
64	23	85
65	23	84
66	24	84
67	24	84
68	25	83
69	25	82
70	25	82
71	26	82
72	26	82
73	26	81
74	27	81
75	27	81
76	27	80
77	28	80
78	28	79
79	28	79
80	29	79
81	29	78
82	29	78
83	30	77
84	30	77
85	31	77
86	31	76
87	31	76
88	32	75
89	32	75
90	32	75
91	33	74
92	33	74
93	33	74
94	34	73
95	34	73
96	34	73
97	35	72
98	35	72
99	35	71
100	36	71
101	36	71
102	37	71
103	37	70
104	37	70
105	38	70
106	38	69
107	38	69
108	39	68
109	39	68
110	40	68
111	40	67
112	40	67
113	41	67
114	41	66
115	41	66
116	42	66
117	42	65
118	42	65
119	43	64
120	43	64
121	43	64
122	44	63
123	44	63
124	45	63
125	45	62
126	45	62
127	46	62
128	46	61
129	46	61
130	47	60
131	47	60
132	47	60
133	48	59
134	48	59
135	49	59
136	49	58
137	49	58
138	50	57
139	50	57
140	50	57
141	51	56
142	51	56
143	51	56
144	52	55
145	52	55
146	52	54
147	53	54
148	53	54
149	53	53
150	54	53
151	54	53
152	54	52
153	55	52
154	55	52
155	56	51
156	56	51
157	56	51
158	57	50
159	57	50
160	57	49
161	58	49
162	58	49
163	58	48
164	59	48
165	59	48
166	60	47
167	60	47
168	60	47
169	61	46
170	61	46
171	61	45
172	62	45
173	62	45
174	62	44
175	63	44
176	63	44
177	64	44
178	64	43
179	64	43
180	65	42
181	65	42
182	65	42
183	66	41
184	66	41
185	67	41
186	67	40
187	67	40
188	68	40
189	68	39
190	69	39
191	69	39
192	69	38
193	70	38
194	70	37
195	70	37
196	71	37
197	71	36
198	72	36
199	72	36
200	72	35
201	73	35
202	73	35
203	73	34
204	74	34
205	74	33
206	74	33
207	75	33
208	75	32
209	76	32
210	76	32
211	76	31
212	77	31
213	77	31
214	77	30
215	78	30
216	78	30
217	79	29
218	79	29
219	79	29
220	80	28
221	80	28
222	81	27
223	81	27
224	81	27
225	82	26
226	82	26
227	82	26
228	83	25
229	83	25
230	83	25
231	84	24
232	84	24
233	84	23
234	85	23
235	85	23
236	86	22
237	86	22
238	86	22
239	87	21
240	87	21
241	88	21
242	88	20
243	88	20
244	89	20
245	89	19
246	89	19
247	90	18
248	90	18
249	90	18
250	91	17
251	91	17
252	91	17
253	92	16
254	92	16
255	93	16
256	93	15
257	93	15
258	94	14
259	94	14
260	94	14
261	95	13
262	95	13
263	95	13
264	96	12
265	96	12
266	97	11
267	97	11
268	97	11
269	98	10
270	98	10
271	98	10
272	99	9
273	99	9
274	99	9
275	100	8
276	100	8
277	100	7
278	101	7
279	101	7
280	101	6
281	102	6
282	102	6
283	103	5
284	103	5
285	104	5
286	104	4
287	104	4
288	105	4
289	105	3
290	105	3
291	106	2
292	106	2
293	106	2
294	107	1
295	107	1
296	108	1
297	108	0
298	108	0
299	109	0
